TITLE,DATE
"
			권민아 “FNC 진심 느꼈다…반성하며 치료받겠다”
		",2020.08.12. 오전 6:27
돈 벌려고 아이돌 만든다고요? 다른 사업 하세요[나는 아이돌 기획자다 2],2022-06-07 7:01
"
			새벽 1시에 술집 생파…SF9 휘영·찬희 ""지탄받아 마땅"" 사과 [전문]
		",2022.01.27. 오후 5:50
오은영도 걱정한 걸그룹 오디션…안봐도 포기 못하는 이유,2021-11-07 15:20
“왜 아이돌은 지구를 지킬까” 오행까지 등장한 세계관 전쟁,2020-10-14 16:41
"""불안장애 악화"" 정형돈 다시 방송활동 중단 [전문]",2020-11-05 18:50
"
			일간지 인턴기자 윤아냐, 서울청 특수팀 형사 설현이냐
		",2020.12.15. 오전 12:03
"
			tvN '낮과밤' 설현 vs JTBC '허쉬' 윤아, 이번엔 누가 웃을까
		",2020.12.14. 오후 4:41
"
			AOA 소속사 “멤버 관계 살피지 못해 죄송…권민아 회복 기원”
		",2020.08.09. 오후 5:34
[양성희 논설위원이 간다] 아이돌 산업과 엘리트 체육 공통점 ‘합숙소’,2020-07-17 0:20
"[단독] 권민아 'AOA 집단괴롭힘' 의혹, 경찰 내사 착수",2020-08-13 19:17
"
			AOA 출신 권민아 소속사 떠났다…""본인 의사 반영""
		",2020.09.26. 오후 2:51
"
			권민아 ""방관한 것 사실이잖아""… AOA 멤버들에 사과 요구
		",2020.08.07. 오전 8:48
"
			‘신천지 연예인’ 지라시에…당사자들 “사실 무근, 강력한 법적 대응”
		",2020.03.04. 오후 1:07
"
			AOA 민아 팀 탈퇴…설현 등 5인은 재계약 확정
		",2019.05.13. 오후 12:03
"[단독]""피해자""라는 임창정, 주가조작 연루자들과 회사도 차렸다",2023-05-01 5:00
"아이돌 기획, “꼭 기억해야 할 세 가지”[나는 아이돌 기획자다 4]",2022-06-21 7:00
핫한 엔터사에서 일할 때 필요한 것은? [나는 아이돌 기획자다 3],2022-06-14 7:00
“연예인 누구 매니저세요?” “아니 전 그냥 회사원인데요” [나는 아이돌 기획자다 1],2022-06-07 7:00
방역수칙 위반한 채 주점 모임한 SF9 휘영·찬희 기소유예,2022-04-26 8:43
"문세윤 코로나19 확진…KBS '1박 2일' ""이번 주 촬영 취소""",2022-02-14 19:16
"디어유, 전직원 ‘연봉 1,500만원’ 일괄 인상…대규모 개발인력 유치 나서",2021-03-16 15:24
"
			AOA 출신 권민아 “학창시절 성폭행 가해자, 연예인 아냐” 해명
		",2021.03.08. 오후 5:12
개미들은 빅히트에 절규···방시혁은 정의선 꺾고 '주식부자 8위',2020-10-15 22:03
"
			정형돈, ‘뭉찬’으로 다시 활동재개 …“응원덕분에 건강 많이 좋아졌다”
		",2020.12.19. 오후 2:49
"노홍철, 18세 연하와 결혼설? 소속사 ""전혀 사실 아니다"" 일축",2020-07-28 15:51
"
			권민아에 공개사과 지민, 결국 AOA 탈퇴…연예활동 모두 중단
		",2020.07.05. 오전 9:13
"
			지민, 팀내 괴롭힘 논란 공개 사과 ""인간적으로 많이 모자랐다""
		",2020.07.04. 오후 9:03
"
			권민아 ""지민에 사과받아…조금씩 고쳐나가려고 노력하겠다""
		",2020.07.04. 오전 9:43
"
			""그 언니가 10년간 괴롭혔다"" 걸그룹 AOA 출신 권민아 폭로
		",2020.07.03. 오후 6:16
"
			이동건-조윤희 부부 3년 만에 파경 “이혼조정 절차 마쳤다”
		",2020.05.28. 오전 11:39
"
			설리 사망 소식에 김유정·슈주 행사 취소…구혜선·엠버 애도
		",2019.10.14. 오후 8:32
버닝썬·마약·원정도박 연타 논란···양현석 주식 반토막났다,2019-09-01 9:45
"이수만, '내부거래'의혹 덕에 주식부자 1위…버닝썬 타격 양현석은?",2019-06-10 5:37
"
			정해인, 44억원 빌라 매입? 소속사 ""사생활이라 확인 어렵다""
		",2019.09.26. 오전 8:32
"
			정형돈, 케이윌 영정 만들었다가 뭇매…“도 넘은 행동” 사과
		",2019.09.24. 오전 1:05
"
			FT아일랜드 이홍기 30일 입대 ""21사단으로 갑니다""
		",2019.09.16. 오후 4:35
"
			BJ에 ‘뱃살 귀엽다’ 메시지 보낸 이종현 “부끄럽다…늦었지만 팀 탈퇴”
		",2019.08.28. 오후 9:24
"BJ에게 ""뱃살 귀엽네요""…자숙한다던 이종현의 근황?",2019-08-28 16:11
